Symbol,Name,Price,Market Cap,Sector,Industry,Rev Growth,Gross Margin,ROIC,EPS TTM,Forward EPS,P/B,5Y Avg P/E,20M MA,Monthly Closes,Quarterly EPS,EPS YoY Growth,Revenue YoY Growth,Previous EPS TTM,Consecutive Growth
3702.TW,大聯大控股股份有限公司,117.5,197297061888.0,29,Unknown,0.272,0.0395750833665811,0.061851672997528626,,,,,,[],"[null, null, null, null]",,0.272,,0
3703.TW,欣陸投資控股股份有限公司,20.2,16628963328.0,14,Unknown,-0.141,0.12002923122251302,0.0353598068284062,,,,,,[],"[null, null, null, null]",,-0.141,,0
3704.TW,合勤投資控股股份有限公司,46.35,18750283776.0,27,Unknown,-0.103,0.2581981839495447,0.05344444358600144,,,,,,[],"[null, null, null, null]",,-0.103,,0
3705.TW,永信國際投資控股股份有限公司,55.8,14863166464.0,22,Unknown,-0.155,0.4352313208897863,0.08896956360189553,,,,,,[],"[null, null, null, null]",,-0.155,,0
3706.TW,神達控股股份有限公司,88.8,117856436224.0,25,Unknown,0.3459999999999999,0.11347138349682549,0.04891538111444954,,,,,,[],"[null, null, null, null]",,0.3459999999999999,,0
3708.TW,上緯國際投資控股股份有限公司,124.5,11209779200.0,35,Unknown,-0.393,0.19445048876163365,-0.02089807385783067,,,,,,[],"[null, null, null, null]",,-0.393,,0
3711.TW,日月光投資控股股份有限公司,611.0,2681001738240.0,24,Unknown,0.172,0.18505037067828767,0.020824564114280745,,,,,,[],"[null, null, null, null]",,0.172,,0
3712.TW,永崴投資控股股份有限公司,18.25,4493916672.0,25,Unknown,-0.192,-0.47813501133636793,-0.39731904748591723,,,,,,[],"[null, null, null, null]",,-0.192,,0
3714.TW,富采控股股份有限公司,72.8,53628710912.0,26,Unknown,-0.069,0.05700976183590766,-0.0821126549751421,,,,,,[],"[null, null, null, null]",,-0.069,,0
3715.TW,定穎投資控股股份有限公司,173.5,49200193536.0,28,Unknown,0.236,0.19667009351938025,0.018925444721278505,,,,,,[],"[null, null, null, null]",,0.236,,0
3716.TW,中化控股股份有限公司,34.25,5005328896.0,22,Unknown,-0.012,0.38708206064494133,0.05895050393961014,,,,,,[],"[null, null, null, null]",,-0.012,,0
3717.TW,聯嘉光電投資控股股份有限公司,22.6,4697307136.0,12,Unknown,0.033,0.14707450326339938,0.009540046255424536,,,,,,[],"[null, null, null, null]",,0.033,,0
