Symbol,Name,Price,Market Cap,Sector,Industry,Score,Status,Fail Codes,Rev Growth,Gross Margin,ROIC,Insider Own,PEG,Z-Score
PPBT,Purple Biotech Ltd,3.95,4102525.0,Healthcare,Unknown,30,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.0,0.0,,0.06511,100.0,-5.358264252420447
EVC,Entravision Communications Corporation,3.095,284626784.0,Communication Services,Unknown,50,Fail,"FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT",0.256,0.25129998,-0.3153137459332714,0.25941,3.90625,-1.5327657290667147
HIT,"Health In Tech, Inc.",1.8,102435848.0,Technology,Unknown,90,Fail,FAIL_GM_TREND,0.904,0.67070997,0.1888731570020231,0.74614996,0.9955752212389379,26.17807388491589
ACTU,"Actuate Therapeutics, Inc. Common stock",2.66,61827256.0,Healthcare,Unknown,50,Fail,"FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_PEG",0.0,0.0,0.0,0.16567,7.8235297,-25.46661472626792
COHU,"Cohu, Inc.",30.03,1408056448.0,Technology,Unknown,40,Fail,"FAIL_PRICE,FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_PEG,FAIL_INSIDER",0.299,0.42745999,-0.0810470729050196,0.02784,3.3444816053511706,2.866296463605963
GLMD,Galmed Pharmaceuticals Ltd.,0.6117,4025836.0,Healthcare,Unknown,30,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_INSIDER",0.0,0.0,0.0,0.00994,100.0,-14.273959149761819
GKOS,Glaukos Corporation,103.26,5997218304.0,Healthcare,Unknown,30,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.357,0.77965,-0.2737291573402957,0.03516,2.801120448179272,14.07345956203424
POCI,"Precision Optics Corporation, Inc.",4.25,32810974.0,Healthcare,Unknown,50,Fail,"FAIL_MCAP,FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_PEG",0.628,0.096990004,-0.4434886005586435,0.24392,1.5923566878980893,-1.1403938081557374
COLB,"Columbia Banking System, Inc.",26.38,7796626944.0,Financial Services,Unknown,30,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_FLOAT,FAIL_INSIDER",0.512,0.0,0.13631297234925602,0.0055299997,0.22401494140624997,3.0
UTI,"Universal Technical Institute, Inc.",36.72,2020353024.0,Consumer Defensive,Unknown,40,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_ROIC,FAIL_PEG,FAIL_INSIDER",0.096,0.56346,0.14016427963552905,0.026819998,3.9843754166666665,4.001309385257598
